URLNO,PNO,RFN,VALUE
870,5,2, Illness
870,5,8,Wild animals
870,6,5,"ensure the safety,  continue to take recommended precautions"
870,7,2," Blood clots,Red spots,bleeding"
870,7,6,"liver,brain,lungs,kidneys,intestines,breast,testicles"
870,7,8,Ebola virus
870,8,2," Blood clots,Red spots,bleeding"
870,8,6,"liver,brain,lungs,kidneys,intestines,breast,testicles"
870,8,8,Ebola virus
870,9,2," Blood clots,Red spots,bleeding"
870,9,6,"liver,brain,lungs,kidneys,intestines,breast,testicles"
870,9,8,Ebola virus
870,10,1,Ebola
870,10,2," headaches,muscle pain,decreased appetite,sore throat,white blisters,red spots,bleeding."
870,10,6,"skin,head,muscle,eyes,nose,mouth."
870,11,2," fever fatigue,muscle pain,headache,sore throat,vomiting,diarrheo,rash,bleeding"
870,11,6,"head,muscle,throat,kidney,liver"
870,11,8,Ebola virus
870,12,1,Ebola
870,12,8,Ebola virus
870,13,1,Ebola
870,13,8,Ebola virus
870,14,6,"liver,brain,kidney,spleen."
870,14,8,Ebola virus
871,1,2," Blood clots,blood flow weakens,red spots"
871,1,6,"liver,brain,lungs,kidneys,intestines,breast,testicles"
871,1,8,Ebola virus
871,2,1,Ebola
871,2,8,Ebola virus
871,3,2," fever,headache,muscle aches,rash,chest pain,vomiting,diarrhea,bleeding,shock"
871,3,6,"head,muscle,chest,liver,kidney"
871,3,8,Ebola virus
871,4,1,Ebola
871,4,2," hemorrhagic fever,chills,myalgia,nausea,vomiting,diarrhea,chestpain,cough,headache,malaria,dysentery,influenza"
871,4,6,"chest,head"
871,4,8,Ebola virus
871,5,2," malaria,fever,plague,rash,red eyes,hiccups,chest pain,vomiting,diarrhea"
871,5,6,"liver,eyes,chest,kidney"
871,5,8,Ebola virus
871,6,6,.
871,6,8,Ebola virus
871,7,2, Blood clotting
871,7,8,Ebola virus
871,8,1,Ebola
871,8,2," feeling tired, fever, pain in the muscles and joints,headache, and sore throat,vomiting, diarrhea and abdominal"
871,8,6,"muscles,joints,head,throat,abdomen,chest"
871,8,8,Ebola virus
871,9,1,Ebola
871,9,2," sudden increase in body temperature, strong headaches, and joint and muscle pain,Diarrhea, vomiting, and stomach pain."
871,9,6,"muscles,joints,head,stomach,eyes,nose,tongue."
871,9,8,Ebola virus
872,1,1,Ebola
872,1,2," diarrhea, dark or bloody feces,vomiting blood, red eyes due to distention and hemorrhage of sclerotic arterioles,"
872,1,6,"eyes,mouth,rectum,anus,nose,brain."
872,1,8,Ebola virus
873,1,1,Ebola
873,1,2," bleed from the nose and mouth,impaired kidney and liver function,blood in the stoolses, bleeding in the brain can lead to severe depression,"
873,1,6,"nose,mouth,kidney,liver,brain."
873,1,8,Ebola virus
873,2,1,Ebola
873,2,2," bleed from the nose and mouth,impaired kidney and liver function,blood in the stoolses, bleeding in the brain can lead to severe depression,"
873,2,6,"nose,mouth,kidney,liver,brain."
873,2,8,Ebola virus
873,3,1,Ebola
873,3,8,Ebola virus
874,1,1,Ebola
874,1,2,"bleeding from their eyes, ears, nose"
874,1,8,Ebola virus
875,1,1,Ebola
875,1,2," irritation to the diaphragm, ocularinjection and in very light skinned persons a macular rash."
875,2,1,Ebola
875,2,2," fever, muscle pain, headache, sore throat, or fatigue,vomiting, diarrhea, rashes, and impaired kidney or liver"
875,2,6,"muscle,head,throat,kidney,liver"
875,3,1,Ebola
875,3,2," flu-like symptoms,hemorrhagic symptoms,bleeding out of the eyes,minor bleeding, some may just have bleeding"
875,3,6,"eyes,gums"
875,4,1,Ebola
875,4,2,blood clots
875,4,6,"liver, brain, kidneys,lungs, intestines, testicles"
875,5,1,Ebola
875,5,2," blood thickens and slows, and clots begin to stick to the walls of blood vessels"
875,5,6,"brain, liver, kidneys, lungs,intestines, testicles, breast tissue"
876,1,1,"Ebola,malaria, typhoid fever"
876,1,2," fever, chills, muscle pain, sore throat, weakness and general discomfort,Chest pain,bleeding from eyes ears nose mouth"
876,1,6,"face,neck,torso,arms,chest,eyes,ears,nose mouth."
877,1,1,Ebola
878,1,1,Ebola
878,1,2, inability to activate T-cells
878,2,1,Ebola
878,2,2,"sharp decline of lymphocytes, white blood cells"
878,2,6,"lymph nodes, liver, spleen"
328,1,1,  cholera
328,1,5,"  Drink only safe water, Eat food that's completely cooked and hot, avoid street vendor food, Avoid sushi"
328,2,1,  cholera
328,2,5,  oral vaccines
329,1,1,  Cholera
329,1,2,"  severe diarrhea, dehydration"
329,1,7,"  matter of hours, previously"
329,2,1,  Cholera
329,2,2,  severe dehydration
329,2,5,  rehydration solution
330,1,1,  Ebola
330,1,5,"  Practice careful hygiene, wash your hands with soap and water or an alcohol-based hand sanitizer, avoid contact with blood and body fluids, Do not handle items that may have come in contact with an infected person’s blood or body fluids"
331,1,1,"  ebola, EVD"
331,1,5,"  strictly follow recommended infection control precautions, use special personal protective equipment for working with biohazards, apply hand hygiene"
331,2,1,  EVD
331,2,5,"  prevention of needle sticks and sharps injuries, safe phlebotomy, hand hygiene, rational use of personal protective equipment, regular and rigorous environmental cleaning, decontamination of surfaces and equipment, safe management of soiled linen and healthcare waste"
332,1,1,  Ebola
332,1,5,"  Avoid contact with (deceased) Ebola patients and / or their body fluids, Avoid burial rites, Avoid contact with materials of the patient potentially infected, Avoid contact with live or dead wild animals, Do not eat raw meat, Avoid unprotected sexual intercourse"
332,1,6,  seven weeks
332,1,7,"  for seven weeks, after"
332,2,1,  EVD
332,2,2,"  fever, weakness, muscle pain, headache, sore throat, vomiting, diarrhoea, rash, bleeding"
332,2,6,  21 days
332,2,7,"  within 21 days, after"
332,2,8,  Ebola virus
332,3,1,  Ebola Virus Disease (EVD)
332,3,8,  Ebola Virus
332,4,2,"  Sudden onset of fever, intense weakness, muscle pain, headache, sore throat, vomiting, diarrhoea, rash, impaired kidney, liver function, both internal and external bleeding"
333,1,1,  Cholera
333,1,5,"  control of the human host, safe disposal of the excretathe, destruction of contaminated food or water, sterialization"
334,1,1,"  Cholera, Typhus"
334,1,5,"  Chlorination of water, use of insecticides, Early detection of disease"
335,1,1,  typhoid fever
335,1,4,  antibiotics
335,1,5,"  proper hygiene, sanitation, vaccines"
335,2,1,  typhus
335,2,5,"  typhus vaccine, avoid contact with lice"
335,2,8,  lice
336,1,1,  typhus
336,1,5,"  avoidance of the insects that carry the causative bacteria, good hygiene, use of insect repellents"
336,2,1,  typhus
336,2,4,"  antibiotics, tetracycline, chloramphenicol"
336,3,1,  typhus
336,3,8,"  Rickettsiae, infected insect"
512,1,1,malaria 
512,1,2,"flu-like and include a high temperature (fever), headache, sweats, chills and vomiting muscle pains diarrhoea generally feeling unwell"
512,1,6,seven days
512,1,8,Plasmodium falciparum parasite
513,1,1,haemorrhagic fevers
513,1,7,intial characteristic
514,1,1,EBOLA
514,1,2,"fever, myalgia, and malaise"
514,1,6,14 to 21 days
514,1,7,Beginning
514,1,8,EBOLA VIRUS
515,1,1,Ebola
515,1,2,vomiting and diarrhea
515,1,4,Treatment and prevention of Ebola virus disease
515,1,5,Treatment and prevention of Ebola virus disease
515,1,7,After Commencing
515,1,8,virus Fatal infection Ebola virus
516,1,1,Ebola
516,1,2,"gastrointestinal symptoms, rash, hemorrhage from mucous membranes, fever, neurologic dysfunction and shock"
516,1,7,Inceptively
516,1,8,Ebola virus
517,1,1,Ebola
517,1,7,earlier  
517,1,8,Ebola virus infection 
518,1,1,Ebola 
518,1,2,shock syndrome
518,1,6,especially 
518,1,8,Ebola virus infection1
519,1,1,hemorrhagic disease Ebola virus-associated disease
519,1,4,effective therapy 
519,1,5,vaccines 
519,1,8,Ebola virus Ebola virus infection.
520,1,1,Ebola hemorrhagic fever
520,1,2,"fever, shock and coagulation defects "
520,1,4,"therapeutic strategy ,treatment of infected macaques "
520,1,7,Recent
520,1,8,viral infection
521,1,1,Ebola hemorrhagic fever or Ebola
521,1,2,"High fever, Headache, Joint and muscle aches, Sore throat, Weakness, Stomach pain, Lack of appetite, Blood vomiting"
521,1,3,may test to rule out other diseases like cholera or malaria 
521,1,5,prevent people from coming to U.S. airports with the disease.Tests of blood and tissues
521,1,6,2 to 21 days
521,1,7,usually 
521,1,8,Ebola Virus Infection
522,1,1,"hemorrhagic fevers,Ebola and Marburg hemorrhagic fever"
522,1,2,fatal shock
522,1,8,"RNA viruses, filoviruses, flaviviruses, arenaviruses, and bunyaviruses"
523,1,1,Typhus
523,1,2,"fever, headache, weakness, and muscle aches"
523,1,4,antibiotics tetracycline or chloramphenicol  
523,1,6,week-long 
523,1,7,fair amount of time
523,1,8,Infectious agent
524,1,1,Typhus
524,1,2,"blanching rash  ,bleeding into the skin,Fever (40°C) for up to two weeks.Myalgia (those affected may adopt a crouching "
524,1,6,"1-3 days,10-14 days"
524,1,7,initially 
525,1,1,Typhus fevers
525,1,2,universal
525,1,4,antibiotic medication
525,1,5, avoiding arthropod infestations 
525,1,8,rickettsiae bacteria
526,1,1,Typhus
526,1,2,Sheadache high fever chills rash
526,1,3,Western blot  immunofluorescence test   blood test
526,2,1,Typhus
526,2,5,"avoiding the insects , personal hygiene , rodent population "
526,2,6,During the Second World War
527,1,1,typhus 
527,1,2,"headache, a sore throat, and loss of appetite"
527,1,7,then invades
527,1,8,bacillus
528,1,1,typhoid fever
528,1,2,infections or collections of pus 
528,1,7,first  
528,1,8,Salmonella typhi and Salmonella paratyphi
529,1,1,Typhoid
529,1,2,"diarrhea and a rash ,fever, general ill-feeling, and abdominal pain"
529,1,7,initially 
529,1,8,Salmonella typhi
530,1,1,Typhus 
530,1,6,A week or 10 days
530,1,7,Once 
530,1,8,body lice
531,1,1,typhus
531,1,2,"headaches, chills, prostration, high fever, coughing  and severe muscular pain"
531,1,6,12 days
531,1,7,initially
532,1,1,Ebola
532,1,2,"SHigh fever,Headache,Joint and muscle aches,Sore throat"
532,1,6,2 to 21 days
532,1,7,initially
532,1,8,Ebola Virus Infection
533,1,1,Ebola
533,1,7,First of all
533,1,8, virus 
534,1,1,Ebola
534,1,2,"fever, headache, and muscle aches"
534,1,6,36800
534,1,8,"Ebola virus,infection"
535,1,1,Ebola
535,1,7,end stage 
535,1,8,virus
536,1,1,Ebola
536,1,7,initial
536,1,8,virus
537,1,1,Ebola
537,1,2,Stongue's skin may be torn off during rushes of the black vomit 
537,1,7,every 
537,1,8,Ebola-virus
538,1,1,Ebola’s 
538,1,2,"fevers, headaches and fatigue,bloody diarrhea, severe sore throat, jaundice, vomiting or loss of appetite"
538,1,6,two to 21 days 
538,1,7,first 
538,1,8,viral infection
539,1,1,Ebola
539,1,4,early care
539,1,6,August and October 2014
539,1,8,Ebola virus.
540,1,1,Ebola
540,1,6,1976
540,1,8, Ebola virus
541,1,1,Ebola
541,1,6,1 days
541,1,8,fluids
436,1,1,Ebola
436,1,2,severe clinical signs
436,1,2,multiorgan failure and septic shock
436,1,7,between days 6 and 16
437,1,1,Ebola
437,1,2,sick
437,1,7,last year
438,1,1,Ebola
438,1,2,sick
438,1,4,vaccine
438,1,7,last year
439,1,1,malaria
439,1,2,"fever, chills, sweating"
439,1,4,proper treatment
439,1,7,over a period of years
439,1,7,two weeks
439,2,1,malaria
439,2,4,antimalarial drugs
439,2,4,"medications to control fever, antiseizure medications"
439,2,4,fluids and electrolytes
440,1,1,malaria
440,1,4,Antimalarial Pills
440,1,4,medications to control fever
440,1,7,within two weeks
441,1,1,malaria
441,1,4,regular dose of penicillin
441,1,4,penicillin by mouth
441,1,4,single injection of penicillin G-
441,1,7,10-day
441,1,7,every three weeks
441,2,1,malaria
441,2,4,antibiotic
441,2,7,within 10 days
441,2,8,bacteria
441,3,1,malaria
441,3,2,develops carditis
441,3,4,valve replacement surgery
442,1,1,malaria
442,1,4,artemether-lumefantrine
442,1,4,quinine therapy
442,1,7,seven day
443,1,1,malaria
443,1,2,nerve damage
443,1,7,over the course of years
444,1,1,typhus
444,1,2,gastrointestinal bleeding or rupture of the intestines
444,1,7,a life
444,1,7,two to three weeks
445,1,1,typhus
445,1,7,just a few weeks later
445,1,7,first
445,1,7,second
446,1,1,cholera
446,1,2,diarrhea
446,1,2,severe diarrhea and vomiting
446,1,4,replacement of the fluid and salts
446,1,4,oral rehydration solution
446,1,4,prepackaged mixture of sugar and salts to be mixed with water
447,1,1,malaria
447,1,4,antibiotics
447,1,4,doxycycline and chloramphenical
447,1,8,bacteria
447,2,1,typhus
447,2,4,antibiotics
447,2,5,to control the rodent population
447,2,8,infected insects
448,1,1,cholera
448,1,2,diarrheal
448,1,4,Antibiotics
448,1,7,within 5-6 days
448,1,8,cholera organism
448,2,1,cholera
448,2,2,watery diarrhea
448,2,3,Pathological strains
448,2,7,last for only several days
448,2,8,V. cholerae
448,3,1,cholera
448,3,8,bacterial
448,3,8,Lieberkühn
449,1,1,cholera
449,1,4,conventional treatments
449,1,6,1831
450,1,1,malaria
450,1,2,"fever, anemia"
450,1,8,mosquito
451,1,1,malaria
451,1,2,diarrhea
451,1,4,Antibiotics
451,1,8,bacteria
452,1,1,malaria
452,1,4,antimalarial drugs
452,1,8,malaria parasite
453,1,1,malaria
453,1,2,meningococcal meningitis
453,1,2,S. pneumoniae
453,1,4,therapy
453,1,7,for 10 to 14 days
453,1,7,at least 21 days
453,1,7,7 days
453,1,2,L. monocytogenes
454,1,1,malaria
454,1,4,ACT A-B*
454,1,7,four-day 
454,2,1,cholera
454,2,4,administration of salt pills
454,2,4,intravenous fluid
455,1,1,malaria
455,1,2,for severe dehydration and for mild to moderate dehydration
455,1,4,erythromycin and trimethoprim-sulphamethoxazole (TMP-SMX)
455,1,4,sulphamethoxazole
455,1,7,December 1991 to June 1992
455,1,7,for five days
456,1,1,cholera
456,1,3,clinical trial
456,1,4,tetracycline therapy
457,1,1,cholera
457,1,2, diarrhoea
457,1,4,nitrofuran
457,1,4,rehydration treatment
457,1,8,cholera vibrios
458,1,1,cholera
458,1,7,2 to 3 days
458,1,7,up to 5 days
459,1,1,typhus
459,1,4,effective treatment
459,1,8,epidemic typhus
460,1,1,cholera
460,1,4,doxycycline
460,1,4,"Chloramphenicol, azithromycin,fluoroquinolones, and rifampin"
460,1,8,rickettsioses
461,1,1,Ebola
461,1,2,"fever, weakness, muscular pain"
461,1,2,headaches and sore throat
461,1,7,two to 21 days
461,2,1,malaria
461,2,5,immune system
461,2,8,virus
462,1,1,Ebola
462,1,2,EVD infections
462,1,3,laboratory  testing
462,1,7,from 2 to 21 days
463,1,1,Ebola
463,1,7,a few weeks
463,1,8,ebola virus
463,2,1,Ebola
463,2,7,few weeks to a few months
463,2,8,virus
464,1,1,Ebola
464,1,2,lot of muscle loss
464,1,2,very weak
464,1,7,a long time
464,1,7, after a few months.
465,1,1,Ebola
