URLNO,PNO,RFN,VALUE
164,1,4,conventional treatments
164,1,6,1831
164,1,1,malaria
164,1,2,"fever, anemia"
164,1,8,mosquito
165,1,1,malaria
165,1,2,diarrhea
165,1,4,Antibiotics
165,1,8,bacteria
165,1,1,malaria
165,1,4,antimalarial drugs
165,1,8,malaria parasite
166,1,1,malaria
166,1,2,meningococcal meningitis
166,1,2,S. pneumoniae
166,1,4,therapy
166,1,7,for 10 to 14 days
166,1,7,at least 21 days
166,1,7,7 days
166,1,2,L. monocytogenes
166,1,1,malaria
166,1,4,ACT A-B*
166,1,7,four-day 
166,2,1,cholera
166,2,4,administration of salt pills
166,2,4,intravenous fluid
167,1,1,malaria
167,1,2,for severe dehydration and for mild to moderate dehydration
167,1,4,erythromycin and trimethoprim-sulphamethoxazole (TMP-SMX)
167,1,4,sulphamethoxazole
167,1,7,December 1991 to June 1992
167,1,7,for five days
167,1,1,cholera
167,1,3,clinical trial
167,1,4,tetracycline therapy
311,1,5,"  Avoid areas where you might encounter rat fleas or lice, Good sanitation, public health measures"
311,1,8,"  rat fleas, lice"
311,2,5,"  Bathing, Boiling clothes, avoiding infested clothing for at least 5 days, Using insecticides"
311,2,6,  5 days
311,2,7,  at least 5 days
311,2,8,  lice
311,3,1,"  Endemic typhus, jail fever"
311,3,8,"  rats, fleas"
311,4,1,  Murine typhus
311,4,7,  during the summer and fall
311,4,8,"  rats feces, fleas, cats, opossums, raccoons, skunks"
312,1,1,  cholera
312,1,5,"  vaccine, only water that has been boiled, water that has been chemically disinfected, bottled water"
312,1,7,  a few months
313,1,1,  Cholera
313,1,5,"  Drink and use safe water, Wash your hands often with soap and safe water, Use latrines or bury your feces (poop), Cook food well, peel fruits and vegetables, Clean up safely"
313,2,5,"  Dukoral, ShanChol"
313,2,7,  Currently
314,1,1,  cholera
314,1,5,"  providing clean water and proper sanitation, Health education, good food hygiene, hand-washing with soap after defecation and before handling food or eating, safe preparation and conservation of food "
314,2,1,  cholera
314,2,5,"  Provision of safe water, proper sanitation, food safety, Health education"
314,3,1,"  cholera, epidemic cholera"
314,4,1,  Cholera
314,4,2,"  watery diarrhea, vomiting"
315,1,1,  Ebola
315,1,5,"  Avoiding the Infection, Protecting Yourself From Infection, Taking Action if You Are Infected"
316,1,1,  Ebola
316,1,5,"  Avoid any contact with someone you believe is infected, use protective gear such as face masks and gloves"
316,1,8,  Ebola virus
316,2,1,  ebola
316,2,5,"  wearing protective suits that cover their entire bodies, hosing down areas infected patients"
317,1,5,"  face shields, masks, gloves, gowns, full-body suit"
318,1,1,  Ebola
318,1,5,"  PAPR or N95, higher respirator"
318,1,8,  Ebola virus
319,1,1,"  Ebola, Marburg"
319,1,7,  initial
319,1,8,"  Ebola virus, Marburg virus"
319,2,1,"  Ebola, Marburg"
319,2,8,"  Ebola virus, Marburg virus"
352,1,1,  Malaria
352,1,2,"  build-up of toxins and debris in the blood,fever,chills,nausea,aches"
352,1,6,  1-4 weeks
352,1,7,  After a period of 1-4 weeks
352,1,8,"  bite of an infected mosquito,malaria parasite"
352,2,1,"  malaria,Plasmodium falciparum"
352,2,2,"  reduced blood flow,oxygen deprivation in the organs"
353,1,1,"  malaria,severe malaria anemia,cerebral malaria"
353,1,2,"  extremely low red blood cell numbers,deep coma,infected erythrocyte sequestration in the placenta"
353,2,1,"  malaria,anemia"
353,2,2,"  fever,shivering,pain in the joints,headache,repeated vomiting"
354,1,1,  malaria
354,1,2,  damage to the blood cells
355,1,1,  malaria
355,1,8,"  Plasmodium,bite of an infected female mosquito"
355,2,1,  malaria
355,2,8,"  malaria parasite,Plasmodium"
356,1,8,"  Rickettsiae, tick bite, damaged skin from the feces of lice or fleas, R. rickettsii"
356,2,8,  Rickettsia
357,1,2,"  fever (40-40.5°C [104-105°F]), ocular pain, wet cough, malaise, injected conjunctiva, Centrifugal macular rash on the trunk, Enlargement of the spleen, cough, delirium, Pneumonitis, encephalitis, Central nervous system (CNS), pulmonary, cardiac involvement, acute renal failure, shock, disseminated intravascular coagulation (DIC)"
357,1,7,  more than 98% of the time
357,1,8,  chigger bite
357,2,2,"  Rash, Lymph nodes may be enlarged, delirium, stupor, constipation, pneumonia, enlargement of the liver or spleen (splenomegaly), kidney damage (renal failure), slowed heartbeat (bradycardia)"
357,3,1,  scrub typhus
357,3,2,  Nodes may be enlarged
357,4,1,  Typhus
357,4,3,"  Blood tests (serologic tests), complement fixation, immunofluorescence"
357,4,6,  5 to 12 days
357,4,7,  5 to 12 days after
357,4,8,  Rickettsia prowazekii
357,5,1,  Typhus
357,5,8,  Rickettsia
358,1,1,  cholera
358,1,2,  severe diarrhea
358,1,8,  casual contact with an infected person
358,2,2,"  Rapid heart rate, Loss of skin elasticity, Dry mucous membranes, Low blood pressure, Thirst, Muscle cramps"
359,1,1,  Cholera
359,1,2,"  watery diarrhea, vomiting, seizures, kidney failure"
360,1,1,  hog cholera
360,1,8,  hog cholera virus
361,1,1,  Cholera
361,1,2,"  rapid onset of copious, smelly diarrhea, signs of dehydration"
361,2,1,  Cholera
361,2,8,  Vibrio cholerae
361,3,1,  Cholera
361,3,3,"  examination of stool for rice-water appearance, presence of V. cholerae-like organisms microscopically"
361,3,8,  V. cholerae
362,1,1,  Ebola
362,1,2,  kidney and respiratory failure
362,1,4,"  experimental drug ZMapp, plasma transfusion from the blood"
362,1,6,  Saturday
362,1,7,  On Saturday
363,1,1,  Ebola hemorrhagic fever
363,1,2,"  the endothelial cells, hypovolemic shock, dramatic decrease in blood pressure"
363,2,2,"  fever, diarrhea,dark or bloody feces, vomiting blood, red eyes due to distention and hemorrhage of sclerotic arterioles, petechia, maculopapular rash, purpura, gastrointestinal bleeding from the mouth and rectum, Internal and external hemorrhage from orifices, bleeding in the brain"
363,2,7,  initial
364,1,2,"  fever, gastrointestinal bleeding"
364,1,6,"  1 September, four days, three days, September"
364,1,7,"  after, On 1 September, four days later, three days after, end of September"
364,2,1,  Ebola
364,2,8,"  virus's RNA, glycoprotein"
364,3,1,  Ebola
364,3,8,"  Ebola viruses, toothy leviathans"
364,4,1,  Ebola
364,4,6,1976
364,4,7,  in 1976
364,4,8,"  Sudan ebolavirus, Zaire ebolavirus"
365,1,1,"  Epidemic typhus, typhus"
365,1,2,"  fever, headache, weakness, muscle aches, rash, swelling in theheart muscle or brain (encephalitis)"
365,2,1,  Scrub typhus
365,2,2,"  fever, headache, muscle aches and pains, cough, abdominalpain, nausea and vomiting, diarrhea, rash, encephalitis, pneumonia, swelling of the liver and spleen"
366,1,2,"  gastroenteritis, diarrhea, bacteremia"
367,1,1,  Cholera
367,1,8,"  choleragen, cholera enterotoxin"
390,1,1,  malaria
390,1,4,"  mefloquine, combination of quinine sulfate and clindamycin"
390,1,6,"  7 days, 3 days"
390,1,7,"  for 7 days, for 3 days"
390,1,8,  chloroquine-resistant P. falciparum 
391,1,1,  Malaria
391,1,2,"  fever, chills, sweating"
391,1,6,  two weeks
391,1,7,"  within two weeks, period of years, After"
392,1,1,  Malaria
392,1,4,  Doxycycline
392,1,6,  7 days
392,1,7,"  every 12 hours, Treatment course (= 7 days)"
392,2,1,  Malaria
392,2,4,  Clindamycin
392,2,6,  7 days
392,2,7,"  every 8 hours, Treatment course (= 7 days)"
392,3,1,  Malaria
392,3,4,  treated and monitored in hospital
392,3,8,  Plasmodium falciparu
392,4,1,  malaria
392,4,4,"  anti-malarial medicines, Quinine, chloroquine, artesunate"
392,5,1,  malaria
392,5,2,  fever
392,5,6,"  1-2 days, 2-3 days"
392,5,7,"  1-2 days after, every 2-3 days"
393,1,1,  epidemic typhus
393,1,2,  fever
393,1,4,"  antibiotics, single 200 mg dose of doxycycline"
393,1,6,"  five days, 2-4 days"
393,1,7,"  for five days, for 2-4 days, after"
394,1,1,"  scrub typhus, malaria, dengue"
394,1,4,  antibiotics
394,1,7,  within 48 hours
394,2,1,"  scrub typhus, Q fever, murine typhus, jaundice, bradycardia"
394,2,4,  doxycycline
394,2,6,2004
394,2,7,"  in a 2004 report, more than 48 hours, within 48 hours"
395,1,2,  fever
395,1,4,  Adequate antibiotic therapy
395,1,6,"  2-3 days, 10 days"
395,1,7,"  early in the first week, within 24-72 hours, after, 2-3 days after, at least 10 days"
395,2,4,  Antibiotic treatment
395,2,6,"  2-3 days, 10 days"
395,2,7,"  2-3 days after, at least 10 days"
395,3,1,  Rickettsialpox
395,3,4,  Antibiotics
395,4,4,  Chloramphenicol
400,1,8,"  Ebola virus, breast milk and semen"
400,2,1,  Ebola
400,2,6,  12 months
400,2,7,  for 12 months
400,2,8,  Ebola virus
401,1,1,  Ebola
401,1,6,  10 years
401,1,7,  at least 10 years
402,1,1,  malaria
402,1,2,"  shivering with fever, chills, headache, myalgia"
402,1,4,  dose of halofantrine
402,1,6,  24 November 1994
402,1,7,"  On 24 November 1994, around 6 pm, On day 3"
402,2,6,"  6 weeks, 3 months"
402,2,7,"  On day 15, after 6 weeks, A month after, lasted 3 months"
403,1,1,"  malaria, Ebola"
403,1,7,  late in the evenings
403,1,8,  mosquitoes
403,2,1,  Ebola
403,2,2,"  fever, achiness"
403,2,6,  Wednesday
396,1,2,"  diarrhea, severe cholera"
396,1,4,  antibiotic
396,1,7,  within 48 hours
396,1,8,  V cholerae 
396,2,1,  antibiotic
396,2,2,"  vomiting, diarrhea"
396,2,4,"  single-dose therapy with tetracycline, doxycycline, furazolidone, or ciprofloxacin"
396,2,6,  3-5 days
396,2,7,"  in 4-6 h, for 3-5 days"
396,3,1,  cholera
396,3,2,  diarrhea
396,3,4,"  Antimicrobial therapy, fluid therapy, antibiotic"
396,3,7,  within 48 hours
396,3,8,  Vibrio cholerae 
397,1,1,  cholera
397,1,4,"  rehydration with ORS (oral rehydration salts) fluids, IV drip"
397,1,7,"  every one to two hours, first 24 hours, After six hours or three hours"
398,1,6,"  5 days, 7 days"
398,1,7,"  for full 5 days, 7 days after, for 4 hours"
399,1,1,  Cholera
399,1,2,"  severe diarrhea, dehydration"
399,1,8,  contaminated water
399,2,1,  Cholera
399,2,2,  dehydration
399,2,4,  simple and inexpensive rehydration solution
404,1,1,  typhus
404,1,2,"  gastrointestinal bleeding, rupture of the intestines"
404,1,6,  two to three weeks
404,1,7,  take two to three weeks
405,1,1,  cholera
405,1,2,  diarrhea
405,2,2,  severe dehydration
405,2,4,  Antibiotic treatments
405,2,6,  one to three days
405,2,7,  for one to three days
406,1,1,  cholera
406,2,1,  Typhus
406,2,2,"  fever (antipyretics), muscle aches (analgesics), Severe headaches"
406,2,4,"  antibiotics, narcotic pain reliever"
406,2,8,"  lice, fleas, mites"
406,3,1,  scrub typhus
406,3,3,"  Chest x-rays, Blood tests"
406,4,1,  Typhus
406,4,8,  bacteria Rickettsia
487,1,1,cholera
487,1,2,purging diarrhoea and copious vomiting
487,1,2,"cramps afflicted legs, arms, abdomen and back"
487,1,7,longer than five days and sometimes less than one
487,2,1,typhus
487,2,2,"headache and general pains, chills and fevers, "
487,2,7,1833
488,1,1,typhus
488,1,2,headache and high temperature (fever)
488,1,4,antibiotics
488,1,8,germ (bacterium) Salmonella typhi
485,1,1,Ebola
485,1,2,"high fever, headache"
485,1,2,"abdominal pain, diarrhea, vomiting"
485,1,2,macular rash
485,1,6,34639
485,1,7,after 15 years
485,1,8,Ebola virus
486,1,1,Ebola
486,1,2,"sudden onset of fever,"
486,1,2,"feeling weak,"
486,1,2,"muscle pain, "
486,1,2,headaches and a sore throat
486,1,2,"rashes, red eyes, hiccups"
486,2,1,Ebola
486,2,4,supportive therapy
486,2,4,maintaining their oxygen status and blood pressure
486,2,5,proper protective clothing
167,2,1,cholera
167,2,2,"mild to moderate diarrhea, like other illnesses."
167,3,1,cholera
167,3,2,"diarrhea nausea vomiting mild to severe dehydration"""
167,4,1,cholera
167,4,2,"ehydration caused by cholera is usually severe and can cause tiredness, moodiness, sunken eyes, dry mouth, shriveled skin, extreme thirst, reduced urine output, irregular heartbeat, and low blood pressure."
168,1,1,cholera
168,1,2,large amounts of watery diarrhea that lasts a few days.
168,2,1,cholera
168,2,2,profuse diarrhea and vomiting of clear fluid
168,3,1,cholera
168,3,2,"diarrhea is not treated, it can result in life-threatening dehydration and electrolyteimbalances"
168,4,1,cholera
168,4,2,watery diarrhea vomiting leg cramps The infection is often mild or without symptoms.
169,1,1,cholera
169,1,2,"watery diarrhea, vomiting, and leg cramps"
169,1,7,hours
169,2,1,cholera
169,2,2,watery diarrhea
170,1,1,cholera
170,1,2,"back pain. Pain in the low back can relate to the bony lumbar spine, discs between the vertebrae, ligaments around the spine "
170,1,7,initial
171,1,1,cholera
171,1,2,"dehydration including heat exposure, prolonged vigorous exercis"
171,1,7,initial
171,2,1,cholera
171,2,2,"Cramping, abdominal pain, and the sensation of rectal"
171,2,7,initial
171,3,1,cholera
171,3,2,Low blood pressure
171,4,1,cholera
171,4,2,"profuse watery diarrhea, vomiting, and leg cramps. In these people, rapid loss of body fluids leads to dehydration and shock"
171,4,7,within hours
172,1,1,cholera
172,1,2,"Diarrhea. Cholera-related diarrhea comes on suddenly and may quickly cause dangerous fluid loss — as much as a quart (about 1 liter) an hour Nausea and vomiting. Occurring especially in the early stages of cholera, vomiting may persist for hours at a time. Dehydration"
173,1,1,cholera
173,1,2,Dry mucus membranes or dry mouth Dry skin Excessive thirst Glassy or sunken eyes Lack of tears Lethargy Low urine output
174,1,1,cholera
174,1,2,"Nausea Rapid dehydration Rapid pulse (heart rate) Sunken ""soft spots"" (fontanelles) in infants Unusual sleepiness or tiredness Vomiting Watery diarrhea that starts suddenly and has a ""fishy"" odor"
174,2,1,cholera
174,2,2,"profuse watery diarrhea, sometimes described as “rice-water stools, vomiting rapid heart rate loss of skin elasticity dry mucous membranes low blood pressure thirst muscle cramps restlessness or irritability"
174,2,7,first
175,1,1,cholera
175,1,2,"acute renal failure, severe electrolyte imbalances and coma"
175,1,7,hours
175,2,1,cholera
175,2,2,watery diarrhea
879,1,1,ebola
879,1,6,march 23rd 2014
880,1,1,ebola
880,1,6,march 23rd 2014
880,1,7,began
881,1,1,ebola
881,1,6,mid march 2014
881,1,7,began
881,2,1,ebola
881,2,6,14-Mar
881,2,7,first 
881,3,1,ebola
881,3,6,18-Mar
881,3,7,first 
881,4,1,ebola
881,4,6,21-Mar
881,4,7,first 
881,4,8,ebola zaire
881,5,1,ebola
881,5,6,27-Mar
881,5,7,first 
882,1,1,hemorrhagic fever
882,1,6,"march 19,2014"
882,1,7,begins
882,2,1,ebola
882,2,6,27-Jul
883,1,1,ebola
883,1,6,14-Mar
883,1,7,started
884,1,1,ebola
884,1,6,14-Mar
884,1,7,began
884,1,8,ebola virus
885,1,1,ebola
885,1,6,21-Mar-14
885,1,7,began
885,1,8,disease
885,2,1,ebola
885,2,2,"diarrhoea, vomiting, and severe dehydration"
885,2,6,14-Jan
885,3,1,lassa fever
885,3,6,13-Mar-14
885,3,7,first 
885,3,8,disease
886,1,1,ebola
886,1,6,sept.24
886,1,7,first 
887,1,1, hemorrhagic fever
887,1,6,18-Mar
887,2,1,ebola
887,2,6,24-Mar
887,3,1,ebola
887,3,6,march 25 2014
887,3,7,first 
887,4,1,ebola
887,4,6,31-Mar
887,4,7,first 
887,5,1,ebola
887,5,6,25-Jul
887,5,7,first 
888,1,1,ebola
888,1,6,25-Jul
889,1,1,hemorrhagic fever
889,1,6,8-Aug
890,1,1,ebola
890,1,8,bodily fluids
890,1,8,blood
891,1,1,ebola
891,1,6,14-Mar
891,1,7,since
892,1,1,ebola
892,1,7,until
141,1,1,ebola
141,1,4,therapy
141,1,8,disease
142,1,4,immunisations
142,2,3,Bavarian Nordic
142,2,7,few months
142,3,1,ebola
142,3,4,antibodies
142,4,4,merck vaccines
142,4,4,immunations
142,4,8,disease
144,1,1,ebola
144,1,6,14-Mar
144,1,8,disease
144,2,6,23-Mar-14
144,2,8,disease
145,1,1,ebola
145,1,2,fever
145,1,2,vomiting
145,1,2,illness
145,1,8,ebola virus
145,1,6,26-Dec-13
146,1,1,ebola
146,1,6,1976
146,1,6,decemner 2013
146,1,8,disease
147,1,1,ebola
147,1,6,14-Nov
147,1,6,14-Jun
147,1,1,cholera
148,1,1,ebola
148,1,6,2014
148,1,8,ebola virus
148,2,1,ebola
148,2,6,2014
148,2,8,ebola virus
148,3,1,ebola
148,3,6,1976
148,3,6,21-Dec
